Name,Affiliation,Submitted,Accepted,Rejected,AvgScore,AvgAcceptedScore,FirstAuthorCount,LastAuthorCount
Minhao Cheng,"University of California, Los Angeles",3,2,1,6.666666666666667,6.875,1,0
Xiangning Chen,"University of California, Los Angeles",2,2,0,6.875,6.875,1,0
Xiaocheng Tang,Lehigh University,2,2,0,6.875,6.875,0,0
Cho-Jui Hsieh,Amazon,10,5,5,6.1,6.55,0,7
Biao Zhang,University of Edinburgh,1,1,0,7.75,7.75,1,0
Ankur Bapna,Google,2,1,1,6.375,7.75,0,0
Rico Sennrich,University of Zurich,1,1,0,7.75,7.75,0,0
Orhan Firat,Google,4,3,1,6.4375,6.916666666666667,0,2
Xiaoxia Wu,"University of Texas, Austin",1,1,0,7.67,7.67,1,0
Ethan Dyer,Google,5,3,2,5.984,6.8066666666666675,0,1
Behnam Neyshabur,Google,6,6,0,6.5566666666666675,6.5566666666666675,0,5
Amy Zhang,McGill University,3,2,1,6.5566666666666675,7.21,2,0
Rowan Thomas McAllister,University of California Berkeley,1,1,0,7.67,7.67,0,0
Roberto Calandra,Facebook,1,1,0,7.67,7.67,0,0
Yarin Gal,University of Oxford,7,2,5,5.62,7.085,0,5
Sergey Levine,University of Washington,30,16,14,6.15,6.889375,0,21
Xingang Pan,The Chinese University of Hong Kong,1,1,0,7.67,7.67,1,0
Bo Dai,The Chinese University of Hong Kong,3,1,2,6.023333333333333,7.67,0,1
Ziwei Liu,The Chinese University of Hong Kong,2,2,0,7.46,7.46,0,0
Chen Change Loy,Nanyang Technological University,1,1,0,7.67,7.67,0,0
Ping Luo,The University of Hong Kong,4,1,3,5.7925,7.67,0,4
Khai Nguyen,VinAI Research,2,2,0,7.0,7.0,2,0
Nhat Ho,"University of Texas, Austin",2,2,0,7.0,7.0,0,0
Tung Pham,,2,2,0,7.0,7.0,0,0
Hung Bui,Google DeepMind,4,2,2,6.0625,7.0,0,3
Jingfeng Zhang,RIKEN,1,1,0,7.67,7.67,1,0
Jianing Zhu,Sichuan University,1,1,0,7.67,7.67,0,0
Gang Niu,RIKEN,4,1,3,5.5875,7.67,0,1
Bo Han,HKBU,4,2,2,6.0875,7.21,0,0
Masashi Sugiyama,RIKEN Center for Advanced Intelligence Project,8,2,6,5.561249999999999,7.085,0,7
Mohan Kankanhalli,National University of Singapore,3,3,0,6.916666666666667,6.916666666666667,0,3
Yoshua Bengio,University of Montreal,15,10,5,6.066666666666666,6.775,1,4
Prateek Gupta,University of Oxford,1,1,0,7.67,7.67,0,0
Tegan Maharaj,Ecole Polytechnique de Montreal,2,1,1,6.21,7.67,0,0
Nasim Rahaman,"Max Planck Institute for Intelligent Systems, Max-Planck Institute",3,2,1,6.390000000000001,7.085,1,0
Martin Weiss,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",3,2,1,6.390000000000001,7.335,0,0
Tristan Deleu,University of Montreal,1,1,0,7.67,7.67,0,0
Eilif Benjamin Muller,Element AI,1,1,0,7.67,7.67,0,0
Meng Qu,University of Montreal,2,2,0,7.21,7.21,1,0
victor schmidt,,1,1,0,7.67,7.67,0,0
Pierre-luc St-charles,,1,1,0,7.67,7.67,0,0
hannah alsdurf,,1,1,0,7.67,7.67,0,0
Olexa Bilaniuk,University of Montreal,2,1,1,6.21,7.67,0,0
david buckeridge,,1,1,0,7.67,7.67,0,0
gaetan caron,,1,1,0,7.67,7.67,0,0
pierre luc carrier,,1,1,0,7.67,7.67,0,0
Joumana Ghosn,,1,1,0,7.67,7.67,0,0
satya ortiz gagne,,1,1,0,7.67,7.67,0,0
Christopher Pal,Ecole Polytechnique de Montreal,7,3,4,5.538571428571428,6.673333333333333,0,4
Irina Rish,University of Montreal,2,1,1,6.21,7.67,0,1
Bernhard Schölkopf,"Max Planck Institute for Intelligent Systems, Max-Planck Institute",13,8,5,5.852307692307692,6.49,0,8
abhinav sharma,,1,1,0,7.67,7.67,0,0
Jian Tang,HEC Montreal,8,3,5,6.0525,6.916666666666667,0,4
andrew williams,University of Montreal,1,1,0,7.67,7.67,0,1
Ian Gemp,DeepMind,2,1,1,6.585,7.67,2,0
Brian McWilliams,Deepmind,2,2,0,6.835,6.835,0,0
Claire Vernade,Google,1,1,0,7.67,7.67,0,0
Thore Graepel,,1,1,0,7.67,7.67,0,1
Harsh Mehta,Indian Institute of Technology Guwahati,1,1,0,7.67,7.67,1,0
Ashok Cutkosky,Boston University,1,1,0,7.67,7.67,0,0
Alexander Richard,Facebook Reality Labs,1,1,0,7.67,7.67,1,0
Dejan Markovic,Facebook,1,1,0,7.67,7.67,0,0
Israel D. Gebru,Facebook,1,1,0,7.67,7.67,0,0
Steven Krenn,Carnegie Mellon University,1,1,0,7.67,7.67,0,0
Gladstone Alexander Butler,Carnegie Mellon University,1,1,0,7.67,7.67,0,0
Fernando Torre,"School of Computer Science, Carnegie Mellon University",1,1,0,7.67,7.67,0,0
Yaser Sheikh,Carnegie-Mellon University,1,1,0,7.67,7.67,0,1
Atsushi Nitanda,The University of Tokyo,2,2,0,7.3,7.3,1,0
Taiji Suzuki,The University of Tokyo,3,3,0,7.283333333333334,7.283333333333334,1,1
Zhifeng Kong,"University of California, San Diego",1,1,0,7.6,7.6,1,0
Wei Ping,NVIDIA,1,1,0,7.6,7.6,0,0
Jiaji Huang,Baidu,2,2,0,7.3,7.3,0,0
Kexin Zhao,,1,1,0,7.6,7.6,0,0
Bryan Catanzaro,University of California Berkeley,2,2,0,7.05,7.05,0,2
Jonathan Gray,University of Toronto,1,1,0,7.5,7.5,1,0
Adam Lerer,Facebook,3,1,2,5.75,7.5,0,1
Anton Bakhtin,Lomonosov Moscow State University,1,1,0,7.5,7.5,0,0
Noam Brown,Facebook,2,1,1,6.25,7.5,0,1
Krzysztof Marcin Choromanski,Google Brain Robotics & Columbia University,1,1,0,7.5,7.5,1,0
Valerii Likhosherstov,University of Cambridge,1,1,0,7.5,7.5,0,0
David Dohan,Google,2,1,1,6.375,7.5,0,0
Xingyou Song,Google,1,1,0,7.5,7.5,0,0
Andreea Gane,Google Inc,1,1,0,7.5,7.5,0,0
Tamas Sarlos,Google Research,1,1,0,7.5,7.5,0,0
Peter Hawkins,Google,1,1,0,7.5,7.5,0,0
Jared Quincy Davis,Google,1,1,0,7.5,7.5,0,0
Afroz Mohiuddin,Google,2,1,1,6.0,7.5,0,0
Lukasz Kaiser,Google,2,1,1,6.0,7.5,0,0
David Benjamin Belanger,University of Massachusetts Amherst,1,1,0,7.5,7.5,0,0
Lucy J Colwell,University of Cambridge,1,1,0,7.5,7.5,0,0
Adrian Weller,University of Cambridge,2,2,0,7.125,7.125,0,1
Cheng Lu,"Tsinghua University, Tsinghua University",1,1,0,7.5,7.5,1,0
Jianfei Chen,Tsinghua University,1,1,0,7.5,7.5,0,0
Chongxuan Li,"Tsinghua University, Tsinghua University",2,2,0,6.875,6.875,0,0
Qiuhao Wang,Peking University,1,1,0,7.5,7.5,0,0
Jun Zhu,Tsinghua University,7,4,3,5.892857142857143,6.5625,0,6
Suraj Srinivas,Idiap Research Institute & EPFL,1,1,0,7.5,7.5,1,0
Francois Fleuret,University of Geneva,1,1,0,7.5,7.5,0,1
Felix Hill,Computer Laboratory,2,1,1,6.25,7.5,1,0
Olivier Tieleman,DeepMind,1,1,0,7.5,7.5,0,0
Tamara von Glehn,,1,1,0,7.5,7.5,0,0
Nathaniel Wong,,1,1,0,7.5,7.5,0,0
Hamza Merzic,Swiss Federal Institute of Technology,1,1,0,7.5,7.5,0,0
Stephen Clark,Queen Mary University of London,1,1,0,7.5,7.5,0,1
Deniz Oktay,Princeton University,1,1,0,7.5,7.5,1,0
Nick McGreivy,Princeton University,1,1,0,7.5,7.5,0,0
Joshua Aduol,Princeton University,1,1,0,7.5,7.5,0,0
Alex Beatson,Princeton University,1,1,0,7.5,7.5,0,0
Ryan P Adams,Princeton University,1,1,0,7.5,7.5,0,1
Sameera Ramasinghe,Australian National University,1,1,0,7.5,7.5,1,0
Kanchana Nisal Ranasinghe,Mohamed bin Zayed University of Artificial Intelligence,1,1,0,7.5,7.5,0,0
Salman Khan,Inception Institute of AI,1,1,0,7.5,7.5,0,0
Nick Barnes,Australian National University,1,1,0,7.5,7.5,0,0
Stephen Gould,Australian National University,2,1,1,6.25,7.5,0,1
Elliot Meyerson,Cognizant,1,1,0,7.5,7.5,1,0
Risto Miikkulainen,"The University of Texas, Austin",5,1,4,6.016,7.5,0,5
Deunsol Yoon,Korea Advanced Institute of Science and Technology,1,1,0,7.5,7.5,1,0
Sunghoon Hong,Korea Advanced Institute of Science and Technology,1,1,0,7.5,7.5,0,0
Byung-Jun Lee,Korea Advanced Institute of Science and Technology,2,2,0,7.125,7.125,1,0
Kee-Eung Kim,Korea Advanced Institute of Science and Technology,3,3,0,6.75,6.75,0,3
Dibya Ghosh,University of California Berkeley,2,2,0,7.0,7.0,1,0
Abhishek Gupta,Google,5,1,4,5.7700000000000005,7.5,0,0
Ashwin Reddy,University of California Berkeley,2,1,1,6.125,7.5,0,0
Coline Manon Devin,"Electrical Engineering & Computer Science Department, University of California Berkeley",2,2,0,7.375,7.375,0,0
Benjamin Eysenbach,Carnegie Mellon University,5,4,1,6.43,6.9125,2,0
Anirudh Goyal,University of Montreal,10,5,5,5.883,6.65,2,0
Alex Lamb,University of Montreal,3,2,1,6.333333333333333,7.0,1,0
Jordan Hoffmann,DeepMind,2,1,1,6.75,7.5,1,0
Shagun Sodhani,Facebook,4,2,2,5.875,7.125,1,0
Pim De Haan,University of Amsterdam,1,1,0,7.5,7.5,1,0
Maurice Weiler,University of Amsterdam,2,2,0,7.25,7.25,0,1
Taco Cohen,University of Amsterdam,2,2,0,7.0,7.0,0,1
Max Welling,"Donald Bren School of Information and Computer Sciences, University of California, Irvine",6,2,4,5.708333333333333,7.125,0,6
Rewon Child,OpenAI,1,1,0,7.5,7.5,1,0
Avi Singh,University of California Berkeley,1,1,0,7.5,7.5,1,0
Huihan Liu,University of California Berkeley,1,1,0,7.5,7.5,0,0
Gaoyue Zhou,University of California Berkeley,1,1,0,7.5,7.5,0,0
Albert Yu,University of California Berkeley,1,1,0,7.5,7.5,0,0
Nicholas Rhinehart,University of California Berkeley,3,3,0,7.083333333333333,7.083333333333333,0,0
Jeff Donahue,DeepMind,1,1,0,7.5,7.5,1,0
Sander Dieleman,DeepMind,1,1,0,7.5,7.5,0,0
Mikolaj Binkowski,DeepMind,1,1,0,7.5,7.5,0,0
Erich Elsen,Royal Caliber,3,2,1,6.833333333333333,7.25,0,1
Karen Simonyan,DeepMind,3,2,1,6.833333333333333,7.25,0,1
Sanjeevan Ahilan,University College London,1,1,0,7.5,7.5,1,0
Peter Dayan,,1,1,0,7.5,7.5,0,1
Huy Tuan Pham,Stanford University,1,1,0,7.5,7.5,1,0
Phan-Minh Nguyen,Stanford University,1,1,0,7.5,7.5,0,1
Ruosong Wang,Carnegie Mellon University,2,2,0,6.75,6.75,1,0
Dean Foster,"The Wharton School, University of Pennsylvania",1,1,0,7.5,7.5,0,0
Sham M. Kakade,University of Washington,4,3,1,6.625,7.0,0,1
Yikai Zhang,Rutgers University,3,1,2,5.833333333333333,7.5,3,0
Songzhu Zheng,"State University of New York, Stony Brook",1,1,0,7.5,7.5,0,0
Pengxiang Wu,Rutgers University,1,1,0,7.5,7.5,0,0
Mayank Goswami,CUNY Queens College,2,1,1,6.25,7.5,0,1
Chao Chen,"State University of New York, Stony Brook",5,2,3,5.866,7.0,0,4
Gobinda Saha,Purdue University,1,1,0,7.5,7.5,1,0
Kaushik Roy,,3,1,2,5.973333333333334,7.5,0,3
Pedro Hermosilla,Ulm University,1,1,0,7.4,7.4,1,0
Marco Schäfer,University of Tuebingen,1,1,0,7.4,7.4,0,0
Matej Lang,,1,1,0,7.4,7.4,0,0
Gloria Fackelmann,,1,1,0,7.4,7.4,0,0
Pere-Pau Vázquez,,1,1,0,7.4,7.4,0,0
Barbora Kozlikova,,1,1,0,7.4,7.4,0,0
Michael Krone,,1,1,0,7.4,7.4,0,0
Tobias Ritschel,University College London,1,1,0,7.4,7.4,0,0
Timo Ropinski,Ulm University,1,1,0,7.4,7.4,0,1
Akinori F Ebihara,"Biometrics Research Laboratories, NEC Corporation",1,1,0,7.4,7.4,1,0
Taiki Miyagawa,RIKEN,1,1,0,7.4,7.4,0,0
Kazuyuki Sakurai,,1,1,0,7.4,7.4,0,0
Hitoshi Imaoka,,1,1,0,7.4,7.4,0,1
Dequan Wang,University of California Berkeley,1,1,0,7.33,7.33,1,0
Evan Shelhamer,Adobe Research,3,1,2,5.97,7.33,0,0
Shaoteng Liu,Xi'an Jiaotong University,1,1,0,7.33,7.33,0,0
Bruno Olshausen,University of California Berkeley,2,1,1,6.415,7.33,0,0
Trevor Darrell,Electrical Engineering & Computer Science Department,8,4,4,6.2075,6.77,0,6
Siyi Hu,Monash University,1,1,0,7.33,7.33,1,0
Fengda Zhu,Monash University,1,1,0,7.33,7.33,0,0
Xiaojun Chang,Monash University,2,1,1,6.415,7.33,0,0
Xiaodan Liang,SUN YAT-SEN UNIVERSITY,5,2,3,5.816,6.665,0,1
John D Co-Reyes,University of California Berkeley,1,1,0,7.33,7.33,1,0
Yingjie Miao,Google,1,1,0,7.33,7.33,0,0
Daiyi Peng,,2,1,1,6.165,7.33,0,0
Quoc V Le,Google,1,1,0,7.33,7.33,0,0
Honglak Lee,University of Michigan,7,4,3,5.975714285714285,6.4575,0,1
Aleksandra Faust,Google Brain,2,1,1,6.415,7.33,0,2
Anand Gopalakrishnan,Dalle Molle Institute for Artificial Intelligence Research,1,1,0,7.33,7.33,1,0
Sjoerd van Steenkiste,Dalle Molle Institute for Artificial Intelligence Research (IDSIA),2,2,0,6.915,6.915,0,0
Jürgen Schmidhuber,IDSIA,5,5,0,6.766,6.766,0,4
Max B Paulus,Swiss Federal Institute of Technology,1,1,0,7.33,7.33,1,0
Chris J. Maddison,University of Toronto,1,1,0,7.33,7.33,0,0
Andreas Krause,Swiss Federal Institute of Technology,3,2,1,6.576666666666667,6.865,0,3
Gege Qi,Peking University,1,1,0,7.33,7.33,1,0
Lijun GONG,Tencent Jarvis Lab,1,1,0,7.33,7.33,0,0
Yibing Song,Tencent AI Lab,1,1,0,7.33,7.33,0,0
Kai Ma,Tencent Jarvis Lab,1,1,0,7.33,7.33,0,0
Yefeng Zheng,Tencent,1,1,0,7.33,7.33,0,1
Muhammad Khalifa,Cairo University,1,1,0,7.33,7.33,1,0
Hady Elsahar,Naver Labs Europe,2,1,1,5.665,7.33,0,1
Marc Dymetman,Naver Labs Europe,1,1,0,7.33,7.33,0,1
Zhengxian Lin,Oregon State University,1,1,0,7.33,7.33,1,0
Kin-Ho Lam,Oregon State University,1,1,0,7.33,7.33,0,0
Alan Fern,Oregon State University,5,2,3,5.826,7.0649999999999995,0,4
Yuxuan Zhang,University of Waterloo,2,2,0,6.79,6.79,1,0
Wenzheng Chen,University of Toronto,1,1,0,7.33,7.33,0,0
Huan Ling,"Department of Computer Science, University of Toronto",1,1,0,7.33,7.33,0,0
Jun Gao,"Department of Computer Science, University of Toronto",1,1,0,7.33,7.33,0,0
Yinan Zhang,Stanford University,1,1,0,7.33,7.33,0,0
Antonio Torralba,Massachusetts Institute of Technology,4,2,2,5.789999999999999,6.79,0,1
Sanja Fidler,University of Toronto,7,5,2,6.0,6.516,0,5
Naichen Shi,University of Michigan,1,1,0,7.33,7.33,1,0
Dawei Li,"University of Illinois, Urbana Champaign",1,1,0,7.33,7.33,0,0
Mingyi Hong,Iowa State University,3,1,2,6.166666666666667,7.33,0,1
Ruoyu Sun,"University of Illinois, Urbana-Champaign",3,1,2,5.9433333333333325,7.33,0,2
Dong Bok Lee,Korea Advanced Institute of Science and Technology,2,2,0,6.25,6.25,1,0
Dongchan Min,Korea Advanced Institute of Science and Technology,1,1,0,7.25,7.25,0,0
Seanie Lee,Korea Advanced Institute of Science and Technology,2,2,0,6.25,6.25,1,0
Sung Ju Hwang,Korea Advanced Institute of Science and Technology,14,7,7,5.761428571428572,5.951428571428571,0,10
Bowen Jing,Stanford University,1,1,0,7.25,7.25,1,0
Stephan Eismann,Stanford University,2,1,1,6.125,7.25,0,0
Patricia Suriana,,2,1,1,6.125,7.25,0,0
Raphael John Lamarre Townshend,Stanford University,2,1,1,6.125,7.25,1,0
Ron Dror,Stanford University,1,1,0,7.25,7.25,0,1
Aditya Krishna Menon,Australian National University,4,3,1,5.897500000000001,6.3066666666666675,2,0
Sadeep Jayasumana,Google,1,1,0,7.25,7.25,0,0
Ankit Singh Rawat,Google,4,2,2,5.855,6.625,0,0
Himanshu Jain,,1,1,0,7.25,7.25,0,0
Andreas Veit,Google,3,2,1,5.863333333333333,6.46,0,0
Sanjiv Kumar,Google,8,5,3,5.98,6.384,0,5
Yang Bai,"Tsinghua University, Tsinghua University",1,1,0,7.25,7.25,1,0
Yuyuan Zeng,"Tsinghua University, Tsinghua University",1,1,0,7.25,7.25,0,0
Yong Jiang,,2,2,0,6.625,6.625,0,0
Shu-Tao Xia,"Graduate School at Shenzhen, Tsinghua University",2,2,0,6.625,6.625,0,1
Xingjun Ma,Deakin University,5,3,2,6.45,7.083333333333333,0,0
Yisen Wang,Peking University,6,3,3,6.333333333333333,7.083333333333333,0,3
Asher Trockman,Carnegie Mellon University,1,1,0,7.25,7.25,1,0
J Zico Kolter,Carnegie Mellon University,12,8,4,5.941666666666666,6.4125,0,10
Kenji Kawaguchi,Harvard University,3,2,1,6.583333333333333,7.125,1,0
Sejun Park,Korea Advanced Institute of Science and Technology,3,2,1,6.583333333333333,6.875,2,0
Chulhee Yun,Massachusetts Institute of Technology,3,2,1,6.640000000000001,6.96,1,0
Jaeho Lee,Korea Advanced Institute of Science and Technology,3,2,1,6.583333333333333,6.875,1,0
Jinwoo Shin,Korea Advanced Institute of Science and Technology,13,5,8,5.794615384615384,6.516,0,8
Rizal Fathony,Bosch Center for AI,1,1,0,7.25,7.25,1,0
Anit Kumar Sahu,Amazon Alexa AI,1,1,0,7.25,7.25,0,0
Devin Willmott,Bosch Center for AI,1,1,0,7.25,7.25,0,0
Hanxun Huang,The University of Melbourne,1,1,0,7.25,7.25,1,0
Sarah Monazam Erfani,,1,1,0,7.25,7.25,0,0
James Bailey,The University of Melbourne,3,1,2,6.083333333333333,7.25,0,0
Samuel L Smith,Google DeepMind,2,2,0,6.79,6.79,1,1
Benoit Dherin,Google,1,1,0,7.25,7.25,0,0
David Barrett,Google,2,2,0,6.79,6.79,1,0
Soham De,DeepMind,2,2,0,6.79,6.79,0,1
Zhiao Huang,"University of California, San Diego, University of California, San Diego",1,1,0,7.25,7.25,1,0
Yuanming Hu,Massachusetts Institute of Technology,1,1,0,7.25,7.25,0,0
Tao Du,Massachusetts Institute of Technology,2,1,1,6.625,7.25,0,0
Siyuan Zhou,Peking University,1,1,0,7.25,7.25,0,0
Hao Su,University of California - San Diego,3,2,1,6.45,6.875,0,1
Joshua B. Tenenbaum,Massachusetts Institute of Technology,13,7,6,5.852307692307692,6.357142857142857,0,1
Chuang Gan,MIT-IBM Watson AI Lab,6,4,2,5.763333333333333,6.3125,1,3
Karan Goel,Stanford University,1,1,0,7.25,7.25,1,0
Albert Gu,Stanford University,1,1,0,7.25,7.25,0,0
Yixuan Li,"University of Wisconsin, Madison",4,1,3,5.625,7.25,0,2
Christopher Re,University of Wisconsin-Madison,4,3,1,6.2125,6.7,0,3
Xiu Su,University of Sydney,1,1,0,7.25,7.25,1,0
Shan You,Tsinghua University,2,1,1,6.125,7.25,0,0
Tao Huang,SenseTime,2,1,1,6.125,7.25,0,0
Fei Wang,Sensetime,1,1,0,7.25,7.25,0,0
Chen Qian,The Chinese University of Hong Kong,2,1,1,6.625,7.25,0,0
