Name,Submitted,Accepted,Rejected,AvgScore,AvgAcceptedScore
University of Edinburgh,55,17,38,5.551818181818181,6.651176470588235
Shanghai Jiao Tong University,84,16,68,5.4019047619047615,6.515625
Purdue University,49,16,33,5.607755102040817,6.3999999999999995
National University of Singapore,51,16,35,5.717647058823531,6.4775
Microsoft Research,29,15,14,5.826896551724139,6.36
NVIDIA,31,15,16,6.104193548387096,6.543333333333334
The Chinese University of Hong Kong,30,15,15,5.801666666666667,6.522666666666667
McGill University,52,15,37,5.335000000000002,6.632000000000001
Australian National University,25,14,11,5.9239999999999995,6.589285714285714
Cornell University,42,13,29,5.454523809523811,6.461538461538462
"Department of Computer Science, University of Washington",17,13,4,6.157058823529412,6.461538461538462
"University of Illinois, Urbana Champaign",61,13,48,5.447213114754098,6.417692307692308
Rutgers University,32,13,19,5.765625,6.711538461538462
University of Science and Technology of China,25,13,12,5.9803999999999995,6.539230769230769
University of Tuebingen,32,12,20,5.890000000000001,6.8875
Google Research,28,12,16,5.583214285714285,6.409166666666667
UC Santa Barbara,16,12,4,5.87,6.201666666666667
University of Technology Sydney,40,12,28,5.3180000000000005,6.338333333333334
The University of Tokyo,32,12,20,5.684062500000001,6.710000000000001
Google DeepMind,25,12,13,5.762399999999999,6.553333333333332
Johannes Kepler University Linz,24,10,14,6.164583333333333,6.67
Northeastern University,37,10,27,5.224324324324326,6.225
Tencent AI Lab,16,10,6,5.70875,5.851000000000001
Carnegie-Mellon University,24,10,14,5.50125,6.544999999999999
Nanyang Technological University,48,10,38,5.649583333333333,7.117
Technical University Munich,36,10,26,5.509444444444444,6.484999999999999
University of California-Los Angeles,20,9,11,5.913500000000001,6.388888888888889
"State University of New York, Buffalo",19,9,10,5.644210526315789,6.111111111111111
University of Sydney,43,9,34,5.566511627906977,6.677777777777779
Monash University,16,9,7,6.3374999999999995,6.934444444444444
Bosch Center for Artificial Intelligence,11,9,2,6.22,6.472222222222222
Yale University,27,9,18,5.510370370370371,6.577777777777778
Imperial College London,45,9,36,4.966888888888889,6.220000000000001
University of Central Florida,26,9,17,5.515769230769231,6.277777777777778
Salesforce Research,28,9,19,5.488928571428572,6.040000000000001
University of California-Berkeley,28,8,20,5.379285714285715,6.3225
SUN YAT-SEN UNIVERSITY,24,8,16,5.520416666666667,6.28125
University of British Columbia,26,8,18,5.611538461538462,6.09375
"Technion, Technion",26,8,18,5.456153846153847,6.3975
Texas A&M,25,8,17,5.776800000000001,6.45875
"Computer Science Department, Stanford University",20,8,12,6.0775,6.75
"Department of Computer Science, University of Maryland, College Park",19,8,11,5.575263157894736,6.1875
Beihang University,13,8,5,6.077692307692308,6.6875
Alibaba Group,36,8,28,5.388888888888889,5.9625
RIKEN,17,7,10,5.735294117647059,6.545714285714285
Samsung,16,7,9,4.915625,5.6642857142857155
"Washington University, St. Louis",14,7,7,5.821428571428571,6.464285714285714
Ohio State University,19,7,12,5.732631578947369,6.5
"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",19,7,12,5.476315789473684,6.589999999999999
SalesForce.com,19,7,12,5.661578947368422,6.217142857142858
"University of Washington, Seattle",20,7,13,5.6355,6.3999999999999995
IDSIA,7,7,0,6.642857142857143,6.642857142857143
Oregon State University,14,6,8,5.825714285714286,6.926666666666667
Fudan University,20,6,14,5.4915,6.416666666666667
Horizon Robotics,6,6,0,5.916666666666667,5.916666666666667
TU Berlin,10,6,4,5.9239999999999995,6.664999999999999
Facebook AI Research,27,6,21,5.656296296296297,6.416666666666667
Brown University,12,6,6,5.805833333333333,7.028333333333333
Toronto University,14,6,8,5.565714285714286,6.486666666666667
Huawei Technologies Ltd.,43,6,37,4.8781395348837195,6.609999999999999
KAUST,38,6,32,5.355,6.333333333333333
Deepmind,11,6,5,5.69,6.611666666666667
University of Pennsylvania,27,6,21,5.641851851851851,6.386666666666667
California Institute of Technology,28,6,22,5.453214285714286,6.585
Swiss Federal Institute of Technology Lausanne,27,6,21,5.399259259259259,5.833333333333333
INRIA,13,5,8,5.288461538461538,6.15
Boston University,11,5,6,5.493636363636363,6.62
"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",25,5,20,5.0216,5.5
Polytechnique Montreal,9,5,4,5.561111111111112,6.1899999999999995
Rensselaer Polytechnic Institute,18,5,13,5.477222222222222,6.35
University of Chicago,20,5,15,5.596,6.684
Singapore Management University,9,5,4,5.472222222222222,6.05
Renmin University of China,15,5,10,5.194666666666666,6.086
Bocconi University,5,5,0,6.0,6.0
Intel,22,5,17,5.550909090909091,6.609999999999999
Allen Institute for Artificial Intelligence,9,5,4,6.9911111111111115,7.95
Electrical Engineering & Computer Science Department,9,4,5,5.953333333333333,6.4375
Ecole polytechnique,9,4,5,5.377777777777777,6.5
VinAI Research,4,4,0,6.3100000000000005,6.3100000000000005
University of Electronic Science and Technology of China,6,4,2,5.888333333333333,6.145
KU Leuven,12,4,8,5.41,6.355
Arizona State University,20,4,16,5.314,5.92
MIT-IBM Watson AI Lab,7,4,3,5.522857142857142,6.0825
NAVER,8,4,4,5.75,6.0
Bar Ilan University,8,4,4,5.81875,6.325
Technion,12,4,8,5.340833333333333,6.0875
Microsoft Research Asia,7,4,3,5.857142857142857,6.5625
Skolkovo Institute of Science and Technology,6,4,2,6.1383333333333345,6.3725000000000005
Max Planck Institute for Intelligent Systems,7,4,3,5.392857142857143,6.0625
University of Surrey,11,4,7,5.822727272727274,6.51
University of Waterloo,13,4,9,4.947692307692307,5.9375
Tel Aviv University,17,4,13,5.819411764705883,6.5
University of Utah,12,4,8,5.683333333333334,6.25
Zhejiang University,40,4,36,5.037750000000001,6.6075
Salesforce Research Asia,12,4,8,5.7491666666666665,6.3325
Lawrence Livermore National Labs,5,4,1,7.24,7.5
Yandex,9,4,5,5.834444444444445,6.7925
"University of California, Irvine",11,4,7,5.97,6.8125
"KTH Royal Institute of Technology, Stockholm, Sweden",14,3,11,5.315714285714286,6.583333333333333
Dartmouth College,9,3,6,5.194444444444445,6.25
IBM Research,8,3,5,5.635,6.166666666666667
"University of California, Santa Cruz",8,3,5,5.355,6.446666666666666
Sungkyunkwan University,6,3,3,5.541666666666667,5.916666666666667
University of Bristol,12,3,9,5.7225,6.5
The University of Hong Kong,18,3,15,5.458888888888889,6.3999999999999995
Technical University of Denmark,4,3,1,5.5,5.75
Tohoku University,4,3,1,5.6875,6.0
University of Illinois at Urbana-Champaign,8,3,5,5.92875,6.31
"State University of New York, Stony Brook",16,3,13,5.7025,6.833333333333333
University of Texas at Austin,9,3,6,5.861111111111111,6.916666666666667
"Robert Bosch GmbH, Bosch",7,3,4,6.131428571428572,6.416666666666667
University of Macau,3,3,0,6.223333333333334,6.223333333333334
UC Berkeley,6,3,3,5.875,6.333333333333333
Ecole Normale Superieure,7,3,4,5.642857142857143,6.666666666666667
Brandeis University,5,3,2,5.6,6.0
Ryerson University,7,3,4,5.464285714285714,5.75
Naver Labs Europe,5,3,2,5.784000000000001,6.890000000000001
Baidu,26,3,23,4.8803846153846155,6.276666666666666
Pennsylvania State University,16,3,13,5.2525,5.706666666666666
"University of Illinois, Urbana-Champaign",11,3,8,5.545454545454546,6.359999999999999
"University of Minnesota, Minneapolis",10,3,7,5.617,6.5
The University of Melbourne,15,3,12,5.200666666666666,6.5
Northwestern University,17,3,14,5.334705882352941,6.583333333333333
Ecole Polytechnique de Montreal,8,3,5,5.4399999999999995,6.673333333333333
North Carolina State University,20,3,17,5.3835,6.25
Delft University of Technology,11,2,9,5.340909090909091,6.0
University of Bonn,4,2,2,6.0625,6.835
City University of Hong Kong,10,2,8,5.039999999999999,6.04
University of California - Berkeley,9,2,7,5.556666666666667,6.3
The University of Texas at Austin,4,2,2,6.0225,6.71
Cornell University/Google Brain,2,2,0,6.375,6.375
Hong Kong University of Science and Technology,7,2,5,5.142857142857143,6.375
The Ohio State University,6,2,4,5.8066666666666675,6.67
Indian Institute of Technology Delhi,3,2,1,5.666666666666667,6.0
Snap Inc.,4,2,2,6.1875,7.0
Université de Lille,3,2,1,5.75,6.5
Michigan State University,23,2,21,4.760869565217392,7.0
UCLA,5,2,3,6.184,6.46
IST Austria,5,2,3,5.6819999999999995,6.5
Bosch,12,2,10,5.125,6.0
University of Alberta,20,2,18,5.335999999999999,7.0
Nanjing University,26,2,24,4.83,5.54
Lund University,2,2,0,6.5,6.5
Lomonosov Moscow State University,5,2,3,5.4159999999999995,6.375
Max-Planck Institute,3,2,1,5.416666666666667,5.75
Facebook AI,3,2,1,6.3066666666666675,6.625
"Bar Ilan University, Technion",5,2,3,5.7,6.25
"Electrical Engineering & Computer Science Department, University of California Berkeley",4,2,2,6.3625,7.25
Korea Advanced Institute of Science & Technology,8,2,6,5.6975,5.915
"Centre for Integrative Neuroscience, AG Bethge",3,2,1,6.083333333333333,6.5
Durham University,2,2,0,6.29,6.29
Tianjin University,18,2,16,5.30388888888889,6.165
Moscow Institute of Physics and Technology,9,2,7,5.275555555555554,6.625
Università degli Studi di Verona,2,2,0,6.33,6.33
HEC Montreal,8,2,6,5.75,6.54
Adobe Systems,11,2,9,5.386363636363637,5.875
"Department of Computer Science, University of Oxford",8,2,6,5.335,5.8
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences",3,2,1,5.609999999999999,5.665
Universität Freiburg,15,2,13,5.180000000000001,5.5
Kwai Inc.,5,2,3,6.15,6.75
University of Szeged,2,2,0,6.25,6.25
Criteo,5,2,3,5.35,6.625
Saarland University,4,2,2,5.75,6.125
LIP6,3,2,1,6.0,6.75
Karlsruhe Institute of Technology,2,2,0,6.25,6.25
"University of Massachusetts, Amherst",6,2,4,5.791666666666667,6.625
Chinese Academy of Sciences,2,2,0,6.29,6.29
Virginia Tech,5,2,3,5.366,6.5
University of Stuttgart,3,2,1,5.72,6.33
Inception Institute of Artificial Intelligence,5,2,3,5.85,6.04
Bielefeld University,7,2,5,4.785714285714286,6.0
University of Copenhagen,13,2,11,5.353076923076923,6.25
Yonsei University,9,2,7,5.861111111111111,6.125
University of Wisconsin-Madison,4,2,2,5.65,6.425
Ludwig Maximilian University of Munich,2,2,0,5.725,5.725
"University of Wisconsin, Madison",27,2,25,5.027777777777778,5.875
"ISIR, UMR 7222",4,2,2,5.27,5.75
"Department of Computer Science, Princeton University",4,2,2,6.105,6.71
A*STAR,2,2,0,7.0,7.0
Czech Technical University in Prague,2,2,0,5.67,5.67
Bosch Center for AI,3,2,1,5.916666666666667,6.5
Deakin University,7,2,5,5.821428571428571,7.0
Queensland University of Technology,2,2,0,6.0,6.0
Iowa State University,6,2,4,5.59,6.335
National Taiwan University,10,2,8,4.789,6.2
Heidelberg University,7,2,5,5.892857142857143,5.75
"Google Research, Brain Team",2,2,0,6.25,6.25
Aalto University,4,2,2,6.0,6.5
SenseTime,3,2,1,6.083333333333333,6.625
"Noah's Ark Lab, Huawei Technologies Ltd.",1,1,0,6.67,6.67
University of Queensland,1,1,0,6.0,6.0
"Beijing University of Post and Telecommunication, Tsinghua University",7,1,6,4.5928571428571425,6.0
"CMU, Carnegie Mellon University",10,1,9,5.178,6.75
University of Colorado at Boulder,5,1,4,5.184,6.5
King's College London,2,1,1,6.125,6.75
"Department of Computer Science, University of Illinois, Urbana Champaign",2,1,1,5.5,6.0
"Department of Computer Science, University of Massachusetts, Amherst",8,1,7,5.03125,6.25
VW Group,1,1,0,6.25,6.25
Uber,3,1,2,6.0,6.25
"Data Lab, Volkswagen Group",1,1,0,6.25,6.25
"Machine Learning Research Lab, Volkswagen Group",1,1,0,6.25,6.25
"Institute for Interdisciplinary Information Sciences (IIIS), Tsinghua University",1,1,0,6.33,6.33
University of Tokyo,4,1,3,5.4375,5.5
University of Siegen,1,1,0,6.25,6.25
Hebrew University of Jerusalem,11,1,10,5.628181818181818,6.0
Huawei Noah‘s Ark Lab,2,1,1,5.875,6.0
Pennsylvania State Univ University Park,2,1,1,4.585,4.67
Sorbonne Université,3,1,2,5.11,5.75
", Max Planck Institute for Intelligent Systems",2,1,1,5.54,5.75
"MIT-IBM Watson AI Lab, IBM Research",2,1,1,4.875,6.0
EPFL,8,1,7,5.5,6.0
Simon Fraser University,4,1,3,6.0325,5.8
The Hong Kong University of Science and Technology,16,1,15,5.375,6.25
University of Mainz,1,1,0,6.25,6.25
"University of North Carolina, Chapel Hill",8,1,7,5.1975,6.25
Facebook AI Research (FAIR),10,1,9,5.157,6.33
University of North Carolina,2,1,1,5.375,6.25
Zaheer,3,1,2,5.583333333333333,6.0
"Indian Institute of Technology Delhi, Dhirubhai Ambani Institute Of Information and Communication Technology",2,1,1,5.875,5.75
University of Ottawa,1,1,0,6.25,6.25
IIT Kanpur,4,1,3,5.75,5.75
George Mason University,2,1,1,5.625,6.0
JD AI Research,5,1,4,5.3340000000000005,5.67
Memorial Sloan Kettering Cancer Center,2,1,1,5.335,6.0
Samsung AI Center,1,1,0,5.6,5.6
Royal Melbourne Institute of Technology,1,1,0,6.5,6.5
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",1,1,0,6.0,6.0
Korea University,1,1,0,6.5,6.5
Microsoft Research Cambridge,3,1,2,5.666666666666667,6.0
Hitachi Ltd. R&D group,1,1,0,6.67,6.67
Google/DeepMind,3,1,2,5.28,6.5
SequeL Inria / Univ. Lille,1,1,0,6.33,6.33
US Naval Academy,2,1,1,6.125,6.25
"Institute for Interdisciplinary Information Sciences, Tsinghua University",3,1,2,5.533333333333334,6.6
Indian Institute of Technology (ISM) Dhanbad,1,1,0,6.5,6.5
Univ. of Illinois at Urbana-Champaign,6,1,5,4.93,6.33
The University of Sydney,3,1,2,5.473333333333334,5.75
Microsoft Research New England,1,1,0,6.0,6.0
Inria,4,1,3,4.4775,5.75
Samsung AI Center Cambridge,1,1,0,5.5,5.5
Queen Mary University London,1,1,0,5.5,5.5
University of California-Irvine,4,1,3,6.02,6.25
Hikvision Research Institute,1,1,0,5.5,5.5
University of Virginia,11,1,10,5.461818181818182,6.5
Kyushu University,2,1,1,5.25,6.5
POSTECH,17,1,16,5.263529411764705,6.33
Institut für Informatik,1,1,0,5.2,5.2
"The Chinese University of Hong Kong, Shenzhen",4,1,3,5.0625,6.0
University of California - San Diego,2,1,1,6.05,6.5
"Donald Bren School of Information and Computer Sciences, University of California, Irvine",5,1,4,5.35,6.75
"The University of Tokyo, Tokyo Institute of Technology",3,1,2,4.666666666666667,5.5
"Institute of Computing Technology, Chinese Academy of Sciences",3,1,2,4.31,5.33
Faculty,6,1,5,5.498333333333334,7.0
MLIA,1,1,0,6.33,6.33
Ulm University,3,1,2,5.466666666666666,7.4
"Sorbonne Universite, Criteo AI Lab",1,1,0,6.33,6.33
Institute of Science and Technology Austria,5,1,4,5.531999999999999,6.5
Ecole Polytechnique,2,1,1,5.0,5.5
German Research Center for Artificial Intelligence,1,1,0,6.25,6.25
University of Glasgow,1,1,0,7.0,7.0
Intel AI Lab,2,1,1,5.925,6.25
Royal Caliber,2,1,1,6.5,7.0
Lehigh University,2,1,1,5.625,6.0
Uppsala University,2,1,1,5.75,6.75
"Washington State University, Pullman",1,1,0,7.0,7.0
Adobe Research,6,1,5,5.484999999999999,5.75
HKBU,3,1,2,5.56,6.75
RIKEN Center for Advanced Intelligence Project,8,1,7,5.25875,6.5
Mila,5,1,4,5.2,6.75
Sensetime,1,1,0,7.0,7.0
Element AI,3,1,2,5.666666666666667,6.5
InterDigital,1,1,0,5.75,5.75
Université de Rouen,1,1,0,7.0,7.0
Computer Laboratory,2,1,1,5.665,6.33
"Institue for Advanced Study, Princeton",1,1,0,7.0,7.0
University of Geneva,2,1,1,4.5,6.0
University of Massachusetts Amherst,2,1,1,6.0,6.0
Bosch Center Artificial Intelligence,3,1,2,5.390000000000001,6.5
Chemnitz University of Technology,1,1,0,7.0,7.0
"College of Computing, Georgia Institute of Technology",16,1,15,5.510625,6.5
"University of Electronic Science and Technology of China, Tsinghua University",3,1,2,5.359999999999999,6.33
Vrije Universiteit Amsterdam,2,1,1,5.75,6.75
", University of California, Los Angeles",3,1,2,5.890000000000001,6.75
"Graduate School at Shenzhen, Tsinghua University",1,1,0,6.0,6.0
NEC Laboratories America,2,1,1,5.5,6.75
"Tübingen AI Center, University of Tübingen",2,1,1,5.875,6.5
Università della Svizzera Italiana,1,1,0,5.75,5.75
Amazon Alexa AI,1,1,0,6.75,6.75
"Max-Planck-Institute for Intelligent Systems, Max-Planck Institute",1,1,0,5.75,5.75
Xidian University,9,1,8,5.021111111111112,6.75
Dalle Molle Institute for Artificial Intelligence Research (IDSIA),1,1,0,6.5,6.5
sensetime,1,1,0,5.33,5.33
MILA/McGill University,1,1,0,6.8,6.8
Allen Institute for AI,1,1,0,6.75,6.75
Chinese University of Hong Kong,3,1,2,5.416666666666667,6.0
SenseTime Group Ltd,1,1,0,6.0,6.0
"University of Oxford, University of Oxford",5,1,4,5.234,6.0
"University of California, San Diego, University of California, San Diego",3,1,2,5.473333333333334,6.67
Tencent Jarvis Lab,1,1,0,7.33,7.33
Aix Marseille Université,0,0,0,0.0,0.0
Indiana University Purdue University Indianapolis,0,0,0,0.0,0.0
"Indian Institute of Technology, Hyderabad",0,0,0,0.0,0.0
Chung-Ang University,0,0,0,0.0,0.0
"College of Information and Computer Science, University of Massachusetts, Amherst",0,0,0,0.0,0.0
GIPSA LAB,0,0,0,0.0,0.0
Indiana University - Purdue University Indianapolis,0,0,0,0.0,0.0
INP Grenoble,0,0,0,0.0,0.0
Lingnan University,0,0,0,0.0,0.0
Atos,0,0,0,0.0,0.0
Drexel University,0,0,0,0.0,0.0
Adobe,1,0,1,4.75,0.0
University Jean Monnet,1,0,1,4.5,0.0
Qualcomm,0,0,0,0.0,0.0
Kent State University,0,0,0,0.0,0.0
"Delhi Technological University (Delhi College of Engineering), Dhirubhai Ambani Institute Of Information and Communication Technology",1,0,1,4.75,0.0
University of Applied Sciences Fulda,1,0,1,3.0,0.0
Tufts University,1,0,1,4.5,0.0
ChungAng University,0,0,0,0.0,0.0
Aix Marseille Univ,1,0,1,5.0,0.0
Hanoi University of Science and Technology,1,0,1,4.75,0.0
Robust Intelligence,1,0,1,4.5,0.0
"Preferred Networks, Inc.",9,0,9,4.997777777777777,0.0
University of Toulon,0,0,0,0.0,0.0
Swansea University,0,0,0,0.0,0.0
Aalborg University,1,0,1,5.0,0.0
LIS / Ecole Centrale Marseille,0,0,0,0.0,0.0
Hugging Face,0,0,0,0.0,0.0
Aix Marseille University,0,0,0,0.0,0.0
Harbin Institute of Technonolgy,0,0,0,0.0,0.0
"IBM, International Business Machines",1,0,1,4.25,0.0
HAW Fulda,1,0,1,3.0,0.0
National Tsing Hua University,2,0,2,5.0,0.0
Department of Biology/Department of Computer Science,0,0,0,0.0,0.0
Williams College,0,0,0,0.0,0.0
Mathematical Modeling of Biological Systems Institute,0,0,0,0.0,0.0
Mathematical Modeling for Biological Systems,0,0,0,0.0,0.0
"VinAI Research, Vietnam",1,0,1,4.75,0.0
Auburn University,1,0,1,5.0,0.0
AMU,0,0,0,0.0,0.0
UT Austin,1,0,1,4.75,0.0
Harbin University Of Science And Technology,0,0,0,0.0,0.0
"State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences",0,0,0,0.0,0.0
Università di Firenze,0,0,0,0.0,0.0
YiTu Technology co. ltd,0,0,0,0.0,0.0
Ruhr-Universtät Bochum,2,0,2,4.8,0.0
Didi AI Labs,0,0,0,0.0,0.0
"Department of Computer Science, Cornell University",1,0,1,3.6,0.0
Phyisk,0,0,0,0.0,0.0
Ruhr-University Bochum,1,0,1,4.5,0.0
Google Deepmind,0,0,0,0.0,0.0
WeBank,0,0,0,0.0,0.0
WeBank AI Lab,0,0,0,0.0,0.0
"WeBank Co., Ltd. AI Department",1,0,1,2.8,0.0
Department of Computer Science and Engineering,0,0,0,0.0,0.0
Michigan Technological University,2,0,2,5.125,0.0
Stevens Institute of Technology,3,0,3,4.166666666666667,0.0
Université de Sherbrooke,2,0,2,5.0,0.0
"Computer Science Department, Brown University",0,0,0,0.0,0.0
Toyota Technnological Institute,0,0,0,0.0,0.0
George Washington University,1,0,1,3.0,0.0
"University of Montreal, University of Montreal",0,0,0,0.0,0.0
"Saarland Informatics Campus, Max-Planck Institute",1,0,1,5.25,0.0
interdisciplinary center herzliya,0,0,0,0.0,0.0
University of Minnesota - Twin Cities,0,0,0,0.0,0.0
Bosch Research,0,0,0,0.0,0.0
Hasso Plattner Institute,0,0,0,0.0,0.0
Hamad Bin Khalifa University,0,0,0,0.0,0.0
"Department of Computer Science, Duke University",0,0,0,0.0,0.0
Northestern University of China,0,0,0,0.0,0.0
Politecnico di Milano,0,0,0,0.0,0.0
Texas A&M Engineering Experiment Station,0,0,0,0.0,0.0
Mitsubishi Electric Research Labs,1,0,1,4.75,0.0
SenseTime LTD,0,0,0,0.0,0.0
J.P. Morgan Chase,1,0,1,4.75,0.0
Sapienza University of Rome,6,0,6,3.766666666666667,0.0
Flatiron Institute,0,0,0,0.0,0.0
Shanghai University,0,0,0,0.0,0.0
NNAISENSE,1,0,1,5.0,0.0
Sony AI,1,0,1,5.0,0.0
"KAIST, Korea Advanced Institute of Science and Technology",0,0,0,0.0,0.0
GuangDong Cardiovascular Institute,0,0,0,0.0,0.0
"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",0,0,0,0.0,0.0
"The Graduate Center, CUNY",0,0,0,0.0,0.0
Universidade Federal de Minas Gerais,0,0,0,0.0,0.0
Fraunhofer IIS,0,0,0,0.0,0.0
"Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais",0,0,0,0.0,0.0
"Incheon National University, South Korea",0,0,0,0.0,0.0
Zhongnan University of Ecomomics and Law,1,0,1,5.33,0.0
"University of Texas, Arlington",1,0,1,4.0,0.0
University of Iowa,7,0,7,5.1899999999999995,0.0
DeePathology,0,0,0,0.0,0.0
"Electrical Engineering & Computer Science, Massachusetts Institute of Technology",3,0,3,4.666666666666667,0.0
Institut Supérieur de l'Aéronautique et de l'Espace,1,0,1,5.0,0.0
"Xi'an Jiaotong University,",0,0,0,0.0,0.0
Friedrich-Alexander Universität Erlangen-Nürnberg,0,0,0,0.0,0.0
DeepMind/Google,0,0,0,0.0,0.0
Guangdong Provincal People's Hospital,0,0,0,0.0,0.0
University of Denver,0,0,0,0.0,0.0
"Soochow University, China",0,0,0,0.0,0.0
Agency for Defense Development,0,0,0,0.0,0.0
"Southwest University, China",0,0,0,0.0,0.0
VUNO Inc.,0,0,0,0.0,0.0
Kangwon National University,0,0,0,0.0,0.0
VUNO inc.,0,0,0,0.0,0.0
"Nanyang Technological University, Singapore",0,0,0,0.0,0.0
Bar-Ilan University,5,0,5,4.93,0.0
"Universite Laval, Laval university",0,0,0,0.0,0.0
"Department of Computer Science, University of Pittsburgh",0,0,0,0.0,0.0
Sogang University,0,0,0,0.0,0.0
Naver Labs,0,0,0,0.0,0.0
Sony,1,0,1,5.0,0.0
University of Vienna,3,0,3,4.5,0.0
Memorial Sloan Kettering Cancer Centre,0,0,0,0.0,0.0
University of Wisconsin - Madison,1,0,1,4.75,0.0
"Institute of physics, Chinese academy of sciences",0,0,0,0.0,0.0
Southern University of Science and Technology of China,0,0,0,0.0,0.0
"Université Pierre et Marie Curie - Paris 6, Computer Science Lab  - Pierre and Marie Curie University, Paris, France",1,0,1,4.33,0.0
InstaDeep,4,0,4,3.915,0.0
BMSTU,0,0,0,0.0,0.0
International Computer Science Institute,0,0,0,0.0,0.0
"Department of computer science and informational engineering, National Taiwan University",3,0,3,4.583333333333333,0.0
Insight Centre for Data Analytics,2,0,2,4.0,0.0
Mila - Université de Montréal,1,0,1,5.0,0.0
Facebook A.I. Research,1,0,1,4.25,0.0
Sberbank,0,0,0,0.0,0.0
Honda Research Institute US,0,0,0,0.0,0.0
FiveAI,0,0,0,0.0,0.0
"IIS, Academia Sinica",0,0,0,0.0,0.0
"Zhejiang University, Tsinghua University",2,0,2,4.25,0.0
Indian Institute of Technology Hyderabad (IITH),0,0,0,0.0,0.0
American University of Beirut,0,0,0,0.0,0.0
SenseTime Research Institute,0,0,0,0.0,0.0
University of Latvia,0,0,0,0.0,0.0
NASA Ames Research Center,0,0,0,0.0,0.0
University of Maryland - College Park,0,0,0,0.0,0.0
"Institute of Information Engineering, CAS",0,0,0,0.0,0.0
"The University of Sydney, University of Sydney",0,0,0,0.0,0.0
The University of Adelaide,8,0,8,4.3425,0.0
University of Adelaide,0,0,0,0.0,0.0
"China Southern Power Grid Digital Power Grid Research Institute Co., Ltd",0,0,0,0.0,0.0
ATR,0,0,0,0.0,0.0
Department of Computer Science,1,0,1,4.5,0.0
Chonbuk National University,0,0,0,0.0,0.0
Washington University in St. Louis,0,0,0,0.0,0.0
"LIRIS, CNRS",1,0,1,4.33,0.0
Samsung Research,5,0,5,5.05,0.0
INSA de Lyon,0,0,0,0.0,0.0
University of Bologna,1,0,1,5.0,0.0
SenseTime Research,1,0,1,4.0,0.0
ISI Foundation,0,0,0,0.0,0.0
Ecoles des Mines,0,0,0,0.0,0.0
Worcester Polytechnic Institute,4,0,4,4.7075,0.0
CISPA Helmholtz Center for Information Security,0,0,0,0.0,0.0
